empnum,costcenterlv2,effectivedate
3,Others Tech,2022-11-01
3,Tech,
5,Others Tech,2022-11-01
5,Tech,
6,Main App Tech,2022-11-01
6,Tech,
7,Executive,2022-11-01
7,"Executive, General Manager and Others",
8,,
9,Finance and Accounting,2022-11-01
9,Finance and Accounting,
10,,
12,Marketing,
13,,
14,,
15,Marketing,2023-01-16
15,Creative,2022-11-01
15,Creative,
16,,
17,,
18,Others Tech,2022-11-01
18,Tech,
20,Talent Acquisition,2023-01-17
20,Talent Acquisition,2022-11-01
20,Human Resources,
21,Others Tech,2022-11-01
21,Tech,
22,,
23,Administration,2022-11-01
23,Administration,
24,Others Tech,2022-11-01
24,Tech,
25,Finance and Accounting,2022-11-01
25,Finance and Accounting,
26,,
27,Blockchain,2022-11-01
27,Blockchain,
28,,
29,Main App Tech,2022-11-01
29,Tech,
30,Executive,2022-11-01
30,New Venture Operations,
31,,
32,,
33,Talent Acquisition,2023-01-17
33,Talent Acquisition,2022-11-01
33,Human Resources,
34,,
35,,
36,Finance and Accounting,2022-11-01
36,Finance and Accounting,
37,,
38,,
40,Quant Trading,
41,Finance and Accounting,2022-11-01
41,Finance and Accounting,
42,,
43,,
45,,
46,,
47,,
48,,
49,Finance and Accounting,2022-11-01
49,Finance and Accounting,
50,Information Security,
51,,
52,,
53,,
54,,
55,,
56,Blockchain,2022-11-01
56,Blockchain,
57,,
58,,
59,,
60,,
61,Strategy and Research,2022-11-01
61,New Venture Operations,
62,,
63,Legal,2022-11-01
63,Legal,
64,,
65,Finance and Accounting,2022-11-01
65,Finance and Accounting,
67,IT Infrastructure & Operations,2022-11-01
67,Information Security,
68,,
69,Application Security,2022-11-01
69,Information Security,
70,,
71,,
74,,
75,,
76,Others Tech,2022-11-01
76,Tech,
77,,
78,Information Security,
79,,
80,,
81,,
82,Risk Management,2023-01-01
82,Risk Management,2022-11-01
82,Risk Management,
83,Payments and Reconciliation,2023-01-01
83,Payments and Reconciliation,2022-11-01
83,Payments and Reconciliation,
84,,
85,,
86,,
89,Customer Experience,2023-01-17
89,Community Management,2022-11-01
89,Community Management Department,
90,,
91,,
92,Blockchain Security,2022-11-01
92,Information Security,
93,Blockchain,2022-11-01
93,Blockchain,
94,Others Tech,2022-11-01
94,Tech,
95,,
96,,
97,Others Tech,2022-11-01
97,Tech,
98,,
99,Main App Tech,2022-11-01
99,Tech,
100,Data Proetction & Privacy,2022-11-01
100,Information Security,
101,,
102,Blockchain,2022-11-01
102,Blockchain,
103,Risk Management,2023-01-01
103,Risk Management,2022-11-01
103,Risk Management,
104,Marketing,2023-01-16
104,Partnerships,2022-11-01
104,Partnerships,
105,,
106,,
107,Payments and Reconciliation,2023-01-01
107,Payments and Reconciliation,2022-11-01
107,Payments and Reconciliation,
108,Risk Management,2023-01-01
108,Risk Management,2022-11-01
108,Risk Management,
109,Risk Management,2023-01-01
109,Risk Management,2022-11-01
109,Risk Management,
110,Others Tech,2022-11-01
110,Tech,
111,,
112,,
113,Product,
115,Risk Management,2023-01-01
115,Risk Management,2022-11-01
115,Risk Management,
116,Risk Management,2023-01-01
116,Risk Management,2022-11-01
116,Risk Management,
117,,
118,Marketing,2023-01-16
118,Creative,2022-11-01
118,Creative,
119,Main App Tech,2022-11-01
119,Tech,
120,,
121,Customer Experience,2023-01-01
121,Customer Experience,2022-11-01
121,Customer Experience,
122,,
123,CCO_Infrastructure Compliance,2023-01-14
123,CCO_Infrastructure Compliance,2022-11-01
123,Compliance Operations,
124,,
125,Risk Management,2023-01-01
125,Risk Management,2022-11-01
125,Risk Management,
126,,
127,Main App Tech,2022-11-01
127,Tech,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,Defi Wallet Tech,2022-11-01
135,Tech,
136,,
137,,
138,,
139,,
140,Risk Management,2023-01-01
140,Risk Management,2022-11-01
140,Risk Management,
141,,
142,Customer Experience,
143,Customer Experience,2023-01-01
143,Customer Experience,2022-11-01
143,Customer Experience,
144,,
145,,
147,,
148,Blockchain,2022-11-01
148,Blockchain,
149,"Governance, Risk & Compliance",2022-11-01
149,Information Security,
150,,
151,,
152,,
153,,
154,Marketing,2023-01-16
154,Growth,2022-11-01
154,Growth,
155,,
156,Product Management,2022-11-01
156,Product,2022-07-08
156,Global Business Solutions,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,Finance and Accounting,2022-11-01
164,Finance and Accounting,
165,Data Intelligence,2022-11-01
165,Data Intelligence,
166,,
167,Exchange and Derivatives Tech,2022-11-01
167,Tech,
168,Risk Management,2023-01-01
168,Risk Management,2022-11-01
168,Risk Management,
169,,
170,Product Management,2022-11-01
170,Product,
171,Crypto.com Capital,
172,,
173,Human Resources,2022-11-01
173,Human Resources,
174,Payments and Reconciliation,2023-01-01
174,Payments and Reconciliation,2022-11-01
174,Payments and Reconciliation,
175,,
176,,
177,,
178,KYC,
179,,
181,,
182,,
183,Quant Trading Desk Management,2022-11-01
183,Quant Trading,
184,Blockchain,2022-11-01
184,Blockchain,
185,,
186,,
187,Others Tech,2022-11-01
187,Tech,
188,Blockchain,
189,Blockchain,2022-11-01
189,Blockchain,
190,Tech,
192,Data Intelligence,2022-11-01
192,Data Intelligence,
193,,
194,,
195,Customer Experience,
196,KYC,2022-05-01
196,Customer Experience,
197,,
198,Customer Experience,2023-01-01
198,Customer Experience,2022-11-01
198,Customer Experience,
199,Quant Trading Desk Dev,2022-11-01
199,Quant Trading,
200,KYC,
202,Quant Trading Desk Dev,2022-11-01
202,Quant Trading,
203,Administration,2022-11-01
203,Administration,
204,,
205,Growth,2022-11-01
205,Growth,
