empnum,exitdate,exittype,exitreason
2509,2023-03-05,Resignation (Voluntary),
2758,2023-03-04,Resignation (Voluntary),
1693,2023-03-03,Resignation (Voluntary),
1874,2023-03-03,Resignation (Voluntary),
2961,2023-03-03,Resignation (Voluntary),
116,2023-03-01,Resignation (Voluntary),
740,2023-03-01,Resignation (Voluntary),
3546,2023-03-01,Resignation (Voluntary),
2210,2023-02-27,Resignation (Voluntary),
2357,2023-02-27,Resignation (Voluntary),
1895,2023-02-26,Resignation (Voluntary),
1877,2023-02-23,Resignation (Voluntary),
1953,2023-02-23,Resignation (Voluntary),
5016,2023-02-18,Resignation (Voluntary),
210,2023-02-14,Termination (Involuntary),
2358,2023-02-14,Termination (Involuntary),
3323,2023-02-11,Resignation (Voluntary),
3285,2023-01-29,Resignation (Voluntary),
254,2023-01-17,Resignation (Voluntary),
312,2023-01-14,Termination (Involuntary),
3098,2023-01-14,Termination (Involuntary),
3332,2023-01-14,Termination (Involuntary),
5217,2023-01-14,Termination (Involuntary),
5310,2023-01-14,Termination (Involuntary),
5317,2023-01-14,Termination (Involuntary),
5320,2023-01-14,Termination (Involuntary),
5387,2023-01-14,Termination (Involuntary),
5547,2023-01-14,Termination (Involuntary),
307,2023-01-13,Termination (Involuntary),
313,2023-01-13,Termination (Involuntary),
420,2023-01-13,Termination (Involuntary),
443,2023-01-13,Termination (Involuntary),
1034,2023-01-13,Termination (Involuntary),
1404,2023-01-13,Termination (Involuntary),
1625,2023-01-13,Termination (Involuntary),
1890,2023-01-13,Termination (Involuntary),
2852,2023-01-13,Termination (Involuntary),
3021,2023-01-13,Termination (Involuntary),
3102,2023-01-13,Termination (Involuntary),
3253,2023-01-13,Termination (Involuntary),
3354,2023-01-13,Termination (Involuntary),
3634,2023-01-13,Termination (Involuntary),
3641,2023-01-13,Termination (Involuntary),
4309,2023-01-13,Termination (Involuntary),
4537,2023-01-13,Termination (Involuntary),
4780,2023-01-13,Termination (Involuntary),
4805,2023-01-13,Termination (Involuntary),
5079,2023-01-13,Termination (Involuntary),
5225,2023-01-13,Termination (Involuntary),
5299,2023-01-13,Termination (Involuntary),
5302,2023-01-13,Termination (Involuntary),
5306,2023-01-13,Termination (Involuntary),
5469,2023-01-13,Termination (Involuntary),
5496,2023-01-13,Termination (Involuntary),
5650,2023-01-13,Termination (Involuntary),
5575,2022-12-29,Termination (Involuntary),
5318,2022-12-27,Resignation (Voluntary),
5368,2022-12-21,Resignation (Voluntary),
5475,2022-12-17,Resignation (Voluntary),
1395,2022-12-16,Resignation (Voluntary),
2146,2022-11-30,Termination (Involuntary),
2928,2022-11-23,Termination (Involuntary),
