empnum,costcenterlv2,effectivedate
GH00001,Talent Acquisition,
GH00002,Blockchain,
GH00003,"Governance, Risk & Compliance",
GH00004,Crypto Pay Tech,
GH00005,Crypto Pay Tech,
GH00006,Finance and Accounting,
GH00008,Quant,
GH00009,Defi Wallet Tech,
GH00010,Blockchain,
GH00011,Crypto Pay Tech,
GH00013,Crypto Pay Tech,
GH00014,Product QA,
GH00015,Crypto Pay Tech,
GH00015,Cronos,13/9/2022
GH00016,Crypto Pay Tech,
GH00018,Crypto Pay Tech,
GH00019,Blockchain,
GH00019,Cronos,13/9/2022
GH00020,Main App Tech,
GH00020,Cronos, 1/1/2023
GH00021,Product Management,
GH00021,Cronos,13/9/2022
GH00022,Quant,
GH00023,IT Infrastructure & Operations,
GH00024,Defi Wallet Tech,
GH00025,Product QA,
GH00026,Product QA,
GH00027,Main App Tech,
GH00028,Talent Acquisition,
GH00028,Others Tech,8/6/2022
GH00029,Application Security,
GH00030,Institutional Sales,
GH00032,Product QA,
GH00034,Blockchain,
GH00035,Blockchain Security,
GH00036,"Governance, Risk & Compliance",
GH00037,Human Resources,
GH00039,Product QA,
GH00043,Others Tech,
GH00045,Crypto Pay Tech,
GH00048,Application Security,
GH00049,Crypto Pay Tech,
GH00050,Quant,
GH00051,Crypto Pay Tech,
GH00053,Quant,
GH00054,Crypto Pay Tech,
GH00055,Quant,
GH00058,Blockchain,
GH00059,Quant,
GH00060,Crypto Pay Tech,
GH00061,Main App Tech,
GH00062,Crypto Pay Tech,
GH00063,Main App Tech,
GH00064,Talent Acquisition,
GH00065,Crypto Pay Tech,
GH00066,Main App Tech,
GH00067,Main App Tech,
GH00068,Main App Tech,
GH00069,Crypto Pay Tech,
GH00070,Main App Tech,
GH00071,Defi Wallet Tech,
GH00072,Product QA,
GH00074,Main App Tech,
GH00075,NFT Tech,
GH00077,Main App Tech,
GH00078,Product QA,
GH00079,Defi Wallet Tech,
GH00080,Crypto Pay Tech,
GH00081,Crypto Pay Tech,
GH00082,Product QA,
GH00083,Product QA,
GH00085,Crypto Pay Tech,
GH00087,Others Tech,
GH00089,Exchange and Derivatives Tech,
