EmpNum,ExitDate,ExitType,ExitReason
GH00004,14-Jan-2023,Termination (Involuntary),
GH00005,14-Jan-2023,Termination (Involuntary),
GH00011,14-Jan-2023,Termination (Involuntary),
GH00022,14-Jan-2023,Termination (Involuntary),
GH00027,14-Jan-2023,Termination (Involuntary),
GH00030,14-Jan-2023,Termination (Involuntary),
GH00032,14-Jan-2023,Termination (Involuntary),
GH00039,14-Jan-2023,Termination (Involuntary),
GH00045,14-Jan-2023,Termination (Involuntary),
GH00058,14-Jan-2023,Termination (Involuntary),
GH00059,14-Jan-2023,Termination (Involuntary),
GH00069,14-Jan-2023,Termination (Involuntary),
GH00074,14-Jan-2023,Termination (Involuntary),
GH00096,14-Jan-2023,Termination (Involuntary),
GH00110,14-Jan-2023,Termination (Involuntary),
GH00114,14-Jan-2023,Termination (Involuntary),
GH00120,14-Jan-2023,Termination (Involuntary),
GH00121,14-Jan-2023,Termination (Involuntary),
GH00123,14-Jan-2023,Termination (Involuntary),
GH00126,14-Jan-2023,Termination (Involuntary),
GH00132,14-Jan-2023,Termination (Involuntary),
GH00139,14-Jan-2023,Termination (Involuntary),
GH00140,14-Jan-2023,Termination (Involuntary),
GH00143,14-Jan-2023,Termination (Involuntary),
GH00146,14-Jan-2023,Termination (Involuntary),
GH00149,14-Jan-2023,Termination (Involuntary),
GH00150,14-Jan-2023,Termination (Involuntary),
GH00152,14-Jan-2023,Termination (Involuntary),
GH00159,14-Jan-2023,Termination (Involuntary),
GH00176,14-Jan-2023,Termination (Involuntary),
GH00177,14-Jan-2023,Termination (Involuntary),
GH00180,14-Jan-2023,Termination (Involuntary),
GH00182,14-Jan-2023,Termination (Involuntary),
GH00187,14-Jan-2023,Termination (Involuntary),
GH00189,14-Jan-2023,Termination (Involuntary),
GH00193,14-Jan-2023,Termination (Involuntary),
GH00194,14-Jan-2023,Termination (Involuntary),
GH00195,14-Jan-2023,Termination (Involuntary),
GH00196,14-Jan-2023,Termination (Involuntary),
GH00197,14-Jan-2023,Termination (Involuntary),
GH00202,14-Jan-2023,Termination (Involuntary),
GH00206,14-Jan-2023,Termination (Involuntary),
GH00210,14-Jan-2023,Termination (Involuntary),
GH00211,14-Jan-2023,Termination (Involuntary),
GH00214,14-Jan-2023,Termination (Involuntary),
GH00218,14-Jan-2023,Termination (Involuntary),
GH00219,14-Jan-2023,Termination (Involuntary),
GH00223,14-Jan-2023,Termination (Involuntary),
GH00225,14-Jan-2023,Termination (Involuntary),
GH00226,14-Jan-2023,Termination (Involuntary),
